-1330.706,1661.333,68.797 ,0
-1289.834,1673.449,68.551 ,0
-1247.39,1623.399,68.541  ,0
-1248.695,1573.672,68.473 ,0
-1293.925,1531.175,68.592 ,0
-1232.794,1464.285,68.571 ,0
-1185.935,1454.923,68.443 ,0
-1172.913,1501.208,68.457 ,0
-1196.688,1527.912,68.518 ,0
-1210.818,1537.78,68.557  ,0
-1218.849,1523.139,68.715 ,0
-1222.656,1502.996,71.102 ,0
-1239.031,1503.911,77.114 ,0
-1248.727,1513.926,82.848 ,0
-1250.729,1529.445,88.399 ,0
-1241.424,1536.684,90.195 ,0
-1240.172,1554.895,90.928 ,0
-1250.224,1586.675,91.122 ,0
-1288.37,1607.478,91.778  ,0
-1321.346,1654.032,91.837 ,0
-1365.784,1706.843,83.406 ,0
-1385.039,1727.142,82.327 ,0
