68.665,-55.644,-2.752   ,0
56.472,-99.789,-2.748   ,0
-10.632,-117.722,-4.534 ,0
-2.678,-229.438,-4.536  ,0
-71.349,-275.502,-3.001 ,0
-115.06,-291.388,3.862  ,0
-109.425,-256.882,21.54 ,0
-96.288,-258.966,23.478 ,0
-115.713,-357.651,34.41 ,0
-53.669,-393.024,30.908 ,0
2.972,-357.466,27.778   ,0
19.314,-307.177,31.943  ,0
81.103,-281.298,32.182  ,0
91.233,-260.621,28.907  ,0
100.621,-228.546,24.83  ,1
143.776,-175.685,32.282 ,0
167.651,-95.263,26.57   ,0
191.097,-49.484,26.779  ,0
222.629,-21.131,27.563  ,0
178.738,11.55,26.792    ,0
